ENTIDAD,ANIO,VARIABLE,MES,VALOR,MES_NUM,FECHA_PROXY
ESTADO DE MÉXICO,2015,Temperatura_Minima,FEB,4.6,02,2015-02-15
MICHOACÁN,2015,Temperatura_Minima,FEB,8.9,02,2015-02-15
MORELOS,2015,Temperatura_Minima,FEB,11.2,02,2015-02-15
NAYARIT,2015,Temperatura_Minima,FEB,12.1,02,2015-02-15
NUEVO LEÓN,2015,Temperatura_Minima,FEB,6.9,02,2015-02-15
OAXACA,2015,Temperatura_Minima,FEB,12.9,02,2015-02-15
PUEBLA,2015,Temperatura_Minima,FEB,7.4,02,2015-02-15
QUERÉTARO,2015,Temperatura_Minima,FEB,6.4,02,2015-02-15
QUINTANA ROO,2015,Temperatura_Minima,FEB,16.7,02,2015-02-15
SAN LUIS POTOSÍ,2015,Temperatura_Minima,FEB,8.3,02,2015-02-15
SINALOA,2015,Temperatura_Minima,FEB,10.7,02,2015-02-15
SONORA,2015,Temperatura_Minima,FEB,6.3,02,2015-02-15
TABASCO,2015,Temperatura_Minima,FEB,18.9,02,2015-02-15
TAMAULIPAS,2015,Temperatura_Minima,FEB,11.2,02,2015-02-15
TLAXCALA,2015,Temperatura_Minima,FEB,3.2,02,2015-02-15
VERACRUZ,2015,Temperatura_Minima,FEB,13.3,02,2015-02-15
YUCATÁN,2015,Temperatura_Minima,FEB,16.2,02,2015-02-15
ZACATECAS,2015,Temperatura_Minima,FEB,4.2,02,2015-02-15
AGUASCALIENTES,2015,Temperatura_Maxima,FEB,23.9,02,2015-02-15
BAJA CALIFORNIA,2015,Temperatura_Maxima,FEB,20.5,02,2015-02-15
BAJA CALIFORNIA SUR,2015,Temperatura_Maxima,FEB,25.6,02,2015-02-15
CAMPECHE,2015,Temperatura_Maxima,FEB,32.3,02,2015-02-15
COAHUILA,2015,Temperatura_Maxima,FEB,21.7,02,2015-02-15
COLIMA,2015,Temperatura_Maxima,FEB,31.6,02,2015-02-15
CHIAPAS,2015,Temperatura_Maxima,FEB,29.7,02,2015-02-15
CHIHUAHUA,2015,Temperatura_Maxima,FEB,19.8,02,2015-02-15
CIUDAD DE MÉXICO,2015,Temperatura_Maxima,FEB,23.0,02,2015-02-15
DURANGO,2015,Temperatura_Maxima,FEB,22.0,02,2015-02-15
GUANAJUATO,2015,Temperatura_Maxima,FEB,24.1,02,2015-02-15
GUERRERO,2015,Temperatura_Maxima,FEB,31.4,02,2015-02-15
HIDALGO,2015,Temperatura_Maxima,FEB,23.3,02,2015-02-15
JALISCO,2015,Temperatura_Maxima,FEB,27.6,02,2015-02-15
ESTADO DE MÉXICO,2015,Temperatura_Maxima,FEB,22.1,02,2015-02-15
MICHOACÁN,2015,Temperatura_Maxima,FEB,27.4,02,2015-02-15
MORELOS,2015,Temperatura_Maxima,FEB,29.1,02,2015-02-15
NAYARIT,2015,Temperatura_Maxima,FEB,29.5,02,2015-02-15
NUEVO LEÓN,2015,Temperatura_Maxima,FEB,22.7,02,2015-02-15
OAXACA,2015,Temperatura_Maxima,FEB,28.2,02,2015-02-15
PUEBLA,2015,Temperatura_Maxima,FEB,24.0,02,2015-02-15
QUERÉTARO,2015,Temperatura_Maxima,FEB,25.5,02,2015-02-15
QUINTANA ROO,2015,Temperatura_Maxima,FEB,30.3,02,2015-02-15
SAN LUIS POTOSÍ,2015,Temperatura_Maxima,FEB,25.4,02,2015-02-15
SINALOA,2015,Temperatura_Maxima,FEB,28.1,02,2015-02-15
SONORA,2015,Temperatura_Maxima,FEB,24.3,02,2015-02-15
TABASCO,2015,Temperatura_Maxima,FEB,30.2,02,2015-02-15
TAMAULIPAS,2015,Temperatura_Maxima,FEB,25.7,02,2015-02-15
TLAXCALA,2015,Temperatura_Maxima,FEB,21.7,02,2015-02-15
VERACRUZ,2015,Temperatura_Maxima,FEB,25.9,02,2015-02-15
YUCATÁN,2015,Temperatura_Maxima,FEB,31.3,02,2015-02-15
ZACATECAS,2015,Temperatura_Maxima,FEB,23.2,02,2015-02-15
AGUASCALIENTES,2015,Temperatura_Promedio,FEB,13.5,02,2015-02-15
BAJA CALIFORNIA,2015,Temperatura_Promedio,FEB,13.6,02,2015-02-15
BAJA CALIFORNIA SUR,2015,Temperatura_Promedio,FEB,17.4,02,2015-02-15
CAMPECHE,2015,Temperatura_Promedio,FEB,24.6,02,2015-02-15
COAHUILA,2015,Temperatura_Promedio,FEB,14.3,02,2015-02-15
COLIMA,2015,Temperatura_Promedio,FEB,22.1,02,2015-02-15
CHIAPAS,2015,Temperatura_Promedio,FEB,22.7,02,2015-02-15
CHIHUAHUA,2015,Temperatura_Promedio,FEB,9.9,02,2015-02-15
CIUDAD DE MÉXICO,2015,Temperatura_Promedio,FEB,14.5,02,2015-02-15
DURANGO,2015,Temperatura_Promedio,FEB,12.0,02,2015-02-15
GUANAJUATO,2015,Temperatura_Promedio,FEB,15.2,02,2015-02-15
GUERRERO,2015,Temperatura_Promedio,FEB,23.8,02,2015-02-15
HIDALGO,2015,Temperatura_Promedio,FEB,14.0,02,2015-02-15
JALISCO,2015,Temperatura_Promedio,FEB,17.1,02,2015-02-15
ESTADO DE MÉXICO,2015,Temperatura_Promedio,FEB,13.0,02,2015-02-15
MICHOACÁN,2015,Temperatura_Promedio,FEB,17.3,02,2015-02-15
MORELOS,2015,Temperatura_Promedio,FEB,19.8,02,2015-02-15
NAYARIT,2015,Temperatura_Promedio,FEB,20.4,02,2015-02-15
NUEVO LEÓN,2015,Temperatura_Promedio,FEB,15.2,02,2015-02-15
OAXACA,2015,Temperatura_Promedio,FEB,20.6,02,2015-02-15
PUEBLA,2015,Temperatura_Promedio,FEB,15.6,02,2015-02-15
QUERÉTARO,2015,Temperatura_Promedio,FEB,15.8,02,2015-02-15
QUINTANA ROO,2015,Temperatura_Promedio,FEB,23.7,02,2015-02-15
SAN LUIS POTOSÍ,2015,Temperatura_Promedio,FEB,16.8,02,2015-02-15
SINALOA,2015,Temperatura_Promedio,FEB,19.4,02,2015-02-15
SONORA,2015,Temperatura_Promedio,FEB,15.5,02,2015-02-15
TABASCO,2015,Temperatura_Promedio,FEB,24.9,02,2015-02-15
TAMAULIPAS,2015,Temperatura_Promedio,FEB,19.1,02,2015-02-15
TLAXCALA,2015,Temperatura_Promedio,FEB,12.2,02,2015-02-15
VERACRUZ,2015,Temperatura_Promedio,FEB,20.0,02,2015-02-15
YUCATÁN,2015,Temperatura_Promedio,FEB,23.9,02,2015-02-15
ZACATECAS,2015,Temperatura_Promedio,FEB,13.4,02,2015-02-15
AGUASCALIENTES,2016,Precipitacion,FEB,38.7,02,2016-02-15
BAJA CALIFORNIA,2016,Precipitacion,FEB,48.6,02,2016-02-15
BAJA CALIFORNIA SUR,2016,Precipitacion,FEB,2.7,02,2016-02-15
CAMPECHE,2016,Precipitacion,FEB,0.3,02,2016-02-15
CIUDAD DE MÉXICO,2016,Precipitacion,FEB,5.8,02,2016-02-15
COAHUILA,2016,Precipitacion,FEB,34.1,02,2016-02-15
COLIMA,2016,Precipitacion,FEB,23.9,02,2016-02-15
CHIAPAS,2016,Precipitacion,FEB,44.5,02,2016-02-15
CHIHUAHUA,2016,Precipitacion,FEB,6.1,02,2016-02-15
DURANGO,2016,Precipitacion,FEB,14.7,02,2016-02-15
GUANAJUATO,2016,Precipitacion,FEB,31.6,02,2016-02-15
GUERRERO,2016,Precipitacion,FEB,0.5,02,2016-02-15
HIDALGO,2016,Precipitacion,FEB,6.1,02,2016-02-15
JALISCO,2016,Precipitacion,FEB,46.9,02,2016-02-15
ESTADO DE MÉXICO,2016,Precipitacion,FEB,4.7,02,2016-02-15
MICHOACÁN,2016,Precipitacion,FEB,4.5,02,2016-02-15
MORELOS,2016,Precipitacion,FEB,0.7,02,2016-02-15
NAYARIT,2016,Precipitacion,FEB,54.2,02,2016-02-15
NUEVO LEÓN,2016,Precipitacion,FEB,32.1,02,2016-02-15
OAXACA,2016,Precipitacion,FEB,6.0,02,2016-02-15
PUEBLA,2016,Precipitacion,FEB,19.4,02,2016-02-15
QUERÉTARO,2016,Precipitacion,FEB,6.3,02,2016-02-15
QUINTANA ROO,2016,Precipitacion,FEB,55.6,02,2016-02-15
SAN LUIS POTOSÍ,2016,Precipitacion,FEB,19.6,02,2016-02-15
SINALOA,2016,Precipitacion,FEB,22.1,02,2016-02-15
SONORA,2016,Precipitacion,FEB,23.3,02,2016-02-15
TABASCO,2016,Precipitacion,FEB,78.5,02,2016-02-15
TAMAULIPAS,2016,Precipitacion,FEB,21.5,02,2016-02-15
TLAXCALA,2016,Precipitacion,FEB,3.8,02,2016-02-15
VERACRUZ,2016,Precipitacion,FEB,10.6,02,2016-02-15
YUCATÁN,2016,Precipitacion,FEB,12.9,02,2016-02-15
ZACATECAS,2016,Precipitacion,FEB,44.8,02,2016-02-15
AGUASCALIENTES,2016,Temperatura_Minima,FEB,4.9,02,2016-02-15
BAJA CALIFORNIA,2016,Temperatura_Minima,FEB,6.3,02,2016-02-15
BAJA CALIFORNIA SUR,2016,Temperatura_Minima,FEB,9.5,02,2016-02-15
CAMPECHE,2016,Temperatura_Minima,FEB,16.2,02,2016-02-15
COAHUILA,2016,Temperatura_Minima,FEB,5.4,02,2016-02-15
COLIMA,2016,Temperatura_Minima,FEB,14.3,02,2016-02-15
CHIAPAS,2016,Temperatura_Minima,FEB,15.4,02,2016-02-15
CHIHUAHUA,2016,Temperatura_Minima,FEB,0.1,02,2016-02-15
CIUDAD DE MÉXICO,2016,Temperatura_Minima,FEB,5.9,02,2016-02-15
DURANGO,2016,Temperatura_Minima,FEB,2.9,02,2016-02-15
GUANAJUATO,2016,Temperatura_Minima,FEB,5.8,02,2016-02-15
GUERRERO,2016,Temperatura_Minima,FEB,16.6,02,2016-02-15
HIDALGO,2016,Temperatura_Minima,FEB,4.9,02,2016-02-15
JALISCO,2016,Temperatura_Minima,FEB,7.8,02,2016-02-15
ESTADO DE MÉXICO,2016,Temperatura_Minima,FEB,4.6,02,2016-02-15
MICHOACÁN,2016,Temperatura_Minima,FEB,8.9,02,2016-02-15
MORELOS,2016,Temperatura_Minima,FEB,11.2,02,2016-02-15
NAYARIT,2016,Temperatura_Minima,FEB,12.1,02,2016-02-15
NUEVO LEÓN,2016,Temperatura_Minima,FEB,6.9,02,2016-02-15
OAXACA,2016,Temperatura_Minima,FEB,12.9,02,2016-02-15
PUEBLA,2016,Temperatura_Minima,FEB,7.4,02,2016-02-15
QUERÉTARO,2016,Temperatura_Minima,FEB,6.4,02,2016-02-15
QUINTANA ROO,2016,Temperatura_Minima,FEB,16.7,02,2016-02-15
SAN LUIS POTOSÍ,2016,Temperatura_Minima,FEB,8.3,02,2016-02-15
SINALOA,2016,Temperatura_Minima,FEB,10.7,02,2016-02-15
SONORA,2016,Temperatura_Minima,FEB,6.3,02,2016-02-15
TABASCO,2016,Temperatura_Minima,FEB,18.9,02,2016-02-15
TAMAULIPAS,2016,Temperatura_Minima,FEB,11.2,02,2016-02-15
TLAXCALA,2016,Temperatura_Minima,FEB,3.2,02,2016-02-15
VERACRUZ,2016,Temperatura_Minima,FEB,13.3,02,2016-02-15
YUCATÁN,2016,Temperatura_Minima,FEB,16.2,02,2016-02-15
ZACATECAS,2016,Temperatura_Minima,FEB,4.2,02,2016-02-15
AGUASCALIENTES,2016,Temperatura_Maxima,FEB,23.9,02,2016-02-15
BAJA CALIFORNIA,2016,Temperatura_Maxima,FEB,20.5,02,2016-02-15
BAJA CALIFORNIA SUR,2016,Temperatura_Maxima,FEB,25.6,02,2016-02-15
CAMPECHE,2016,Temperatura_Maxima,FEB,32.3,02,2016-02-15
COAHUILA,2016,Temperatura_Maxima,FEB,21.7,02,2016-02-15
COLIMA,2016,Temperatura_Maxima,FEB,31.6,02,2016-02-15
CHIAPAS,2016,Temperatura_Maxima,FEB,29.7,02,2016-02-15
CHIHUAHUA,2016,Temperatura_Maxima,FEB,19.8,02,2016-02-15
CIUDAD DE MÉXICO,2016,Temperatura_Maxima,FEB,23.0,02,2016-02-15
DURANGO,2016,Temperatura_Maxima,FEB,22.0,02,2016-02-15
GUANAJUATO,2016,Temperatura_Maxima,FEB,24.1,02,2016-02-15
GUERRERO,2016,Temperatura_Maxima,FEB,31.4,02,2016-02-15
HIDALGO,2016,Temperatura_Maxima,FEB,23.3,02,2016-02-15
JALISCO,2016,Temperatura_Maxima,FEB,27.6,02,2016-02-15
ESTADO DE MÉXICO,2016,Temperatura_Maxima,FEB,22.1,02,2016-02-15
MICHOACÁN,2016,Temperatura_Maxima,FEB,27.4,02,2016-02-15
MORELOS,2016,Temperatura_Maxima,FEB,29.1,02,2016-02-15
NAYARIT,2016,Temperatura_Maxima,FEB,29.5,02,2016-02-15
NUEVO LEÓN,2016,Temperatura_Maxima,FEB,22.7,02,2016-02-15
OAXACA,2016,Temperatura_Maxima,FEB,28.2,02,2016-02-15
PUEBLA,2016,Temperatura_Maxima,FEB,24.0,02,2016-02-15
QUERÉTARO,2016,Temperatura_Maxima,FEB,25.5,02,2016-02-15
QUINTANA ROO,2016,Temperatura_Maxima,FEB,30.3,02,2016-02-15
SAN LUIS POTOSÍ,2016,Temperatura_Maxima,FEB,25.4,02,2016-02-15
SINALOA,2016,Temperatura_Maxima,FEB,28.1,02,2016-02-15
SONORA,2016,Temperatura_Maxima,FEB,24.3,02,2016-02-15
TABASCO,2016,Temperatura_Maxima,FEB,30.2,02,2016-02-15
TAMAULIPAS,2016,Temperatura_Maxima,FEB,25.7,02,2016-02-15
TLAXCALA,2016,Temperatura_Maxima,FEB,21.7,02,2016-02-15
VERACRUZ,2016,Temperatura_Maxima,FEB,25.9,02,2016-02-15
YUCATÁN,2016,Temperatura_Maxima,FEB,31.3,02,2016-02-15
ZACATECAS,2016,Temperatura_Maxima,FEB,23.2,02,2016-02-15
AGUASCALIENTES,2016,Temperatura_Promedio,FEB,13.5,02,2016-02-15
BAJA CALIFORNIA,2016,Temperatura_Promedio,FEB,13.6,02,2016-02-15
BAJA CALIFORNIA SUR,2016,Temperatura_Promedio,FEB,17.4,02,2016-02-15
CAMPECHE,2016,Temperatura_Promedio,FEB,24.6,02,2016-02-15
COAHUILA,2016,Temperatura_Promedio,FEB,14.3,02,2016-02-15
COLIMA,2016,Temperatura_Promedio,FEB,22.1,02,2016-02-15
CHIAPAS,2016,Temperatura_Promedio,FEB,22.7,02,2016-02-15
CHIHUAHUA,2016,Temperatura_Promedio,FEB,9.9,02,2016-02-15
CIUDAD DE MÉXICO,2016,Temperatura_Promedio,FEB,14.5,02,2016-02-15
DURANGO,2016,Temperatura_Promedio,FEB,12.0,02,2016-02-15
GUANAJUATO,2016,Temperatura_Promedio,FEB,15.2,02,2016-02-15
GUERRERO,2016,Temperatura_Promedio,FEB,23.8,02,2016-02-15
HIDALGO,2016,Temperatura_Promedio,FEB,14.0,02,2016-02-15
JALISCO,2016,Temperatura_Promedio,FEB,17.1,02,2016-02-15
ESTADO DE MÉXICO,2016,Temperatura_Promedio,FEB,13.0,02,2016-02-15
MICHOACÁN,2016,Temperatura_Promedio,FEB,17.3,02,2016-02-15
MORELOS,2016,Temperatura_Promedio,FEB,19.8,02,2016-02-15
NAYARIT,2016,Temperatura_Promedio,FEB,20.4,02,2016-02-15
NUEVO LEÓN,2016,Temperatura_Promedio,FEB,15.2,02,2016-02-15
OAXACA,2016,Temperatura_Promedio,FEB,20.6,02,2016-02-15
PUEBLA,2016,Temperatura_Promedio,FEB,15.6,02,2016-02-15
QUERÉTARO,2016,Temperatura_Promedio,FEB,15.8,02,2016-02-15
QUINTANA ROO,2016,Temperatura_Promedio,FEB,23.7,02,2016-02-15
SAN LUIS POTOSÍ,2016,Temperatura_Promedio,FEB,16.8,02,2016-02-15
SINALOA,2016,Temperatura_Promedio,FEB,19.4,02,2016-02-15
SONORA,2016,Temperatura_Promedio,FEB,15.5,02,2016-02-15
TABASCO,2016,Temperatura_Promedio,FEB,24.9,02,2016-02-15
TAMAULIPAS,2016,Temperatura_Promedio,FEB,19.1,02,2016-02-15
TLAXCALA,2016,Temperatura_Promedio,FEB,12.2,02,2016-02-15
VERACRUZ,2016,Temperatura_Promedio,FEB,20.0,02,2016-02-15
YUCATÁN,2016,Temperatura_Promedio,FEB,23.9,02,2016-02-15
ZACATECAS,2016,Temperatura_Promedio,FEB,13.4,02,2016-02-15
AGUASCALIENTES,2017,Precipitacion,FEB,38.7,02,2017-02-15
BAJA CALIFORNIA,2017,Precipitacion,FEB,48.6,02,2017-02-15
BAJA CALIFORNIA SUR,2017,Precipitacion,FEB,2.7,02,2017-02-15
CAMPECHE,2017,Precipitacion,FEB,0.3,02,2017-02-15
CIUDAD DE MÉXICO,2017,Precipitacion,FEB,5.8,02,2017-02-15
COAHUILA,2017,Precipitacion,FEB,34.1,02,2017-02-15
COLIMA,2017,Precipitacion,FEB,23.9,02,2017-02-15
CHIAPAS,2017,Precipitacion,FEB,44.5,02,2017-02-15
CHIHUAHUA,2017,Precipitacion,FEB,6.1,02,2017-02-15
DURANGO,2017,Precipitacion,FEB,14.7,02,2017-02-15
GUANAJUATO,2017,Precipitacion,FEB,31.6,02,2017-02-15
GUERRERO,2017,Precipitacion,FEB,0.5,02,2017-02-15
HIDALGO,2017,Precipitacion,FEB,6.1,02,2017-02-15
JALISCO,2017,Precipitacion,FEB,46.9,02,2017-02-15
ESTADO DE MÉXICO,2017,Precipitacion,FEB,4.7,02,2017-02-15
MICHOACÁN,2017,Precipitacion,FEB,4.5,02,2017-02-15
MORELOS,2017,Precipitacion,FEB,0.7,02,2017-02-15
NAYARIT,2017,Precipitacion,FEB,54.2,02,2017-02-15
NUEVO LEÓN,2017,Precipitacion,FEB,32.1,02,2017-02-15
OAXACA,2017,Precipitacion,FEB,6.0,02,2017-02-15
PUEBLA,2017,Precipitacion,FEB,19.4,02,2017-02-15
QUERÉTARO,2017,Precipitacion,FEB,6.3,02,2017-02-15
QUINTANA ROO,2017,Precipitacion,FEB,55.6,02,2017-02-15
SAN LUIS POTOSÍ,2017,Precipitacion,FEB,19.6,02,2017-02-15
SINALOA,2017,Precipitacion,FEB,22.1,02,2017-02-15
SONORA,2017,Precipitacion,FEB,23.3,02,2017-02-15
TABASCO,2017,Precipitacion,FEB,78.5,02,2017-02-15
TAMAULIPAS,2017,Precipitacion,FEB,21.5,02,2017-02-15
TLAXCALA,2017,Precipitacion,FEB,3.8,02,2017-02-15
VERACRUZ,2017,Precipitacion,FEB,10.6,02,2017-02-15
YUCATÁN,2017,Precipitacion,FEB,12.9,02,2017-02-15
ZACATECAS,2017,Precipitacion,FEB,44.8,02,2017-02-15
AGUASCALIENTES,2017,Temperatura_Minima,FEB,4.9,02,2017-02-15
BAJA CALIFORNIA,2017,Temperatura_Minima,FEB,6.3,02,2017-02-15
BAJA CALIFORNIA SUR,2017,Temperatura_Minima,FEB,9.5,02,2017-02-15
CAMPECHE,2017,Temperatura_Minima,FEB,16.2,02,2017-02-15
COAHUILA,2017,Temperatura_Minima,FEB,5.4,02,2017-02-15
COLIMA,2017,Temperatura_Minima,FEB,14.3,02,2017-02-15
CHIAPAS,2017,Temperatura_Minima,FEB,15.4,02,2017-02-15
CHIHUAHUA,2017,Temperatura_Minima,FEB,0.1,02,2017-02-15
CIUDAD DE MÉXICO,2017,Temperatura_Minima,FEB,5.9,02,2017-02-15
DURANGO,2017,Temperatura_Minima,FEB,2.9,02,2017-02-15
GUANAJUATO,2017,Temperatura_Minima,FEB,5.8,02,2017-02-15
GUERRERO,2017,Temperatura_Minima,FEB,16.6,02,2017-02-15
HIDALGO,2017,Temperatura_Minima,FEB,4.9,02,2017-02-15
JALISCO,2017,Temperatura_Minima,FEB,7.8,02,2017-02-15
ESTADO DE MÉXICO,2017,Temperatura_Minima,FEB,4.6,02,2017-02-15
MICHOACÁN,2017,Temperatura_Minima,FEB,8.9,02,2017-02-15
MORELOS,2017,Temperatura_Minima,FEB,11.2,02,2017-02-15
NAYARIT,2017,Temperatura_Minima,FEB,12.1,02,2017-02-15
NUEVO LEÓN,2017,Temperatura_Minima,FEB,6.9,02,2017-02-15
OAXACA,2017,Temperatura_Minima,FEB,12.9,02,2017-02-15
PUEBLA,2017,Temperatura_Minima,FEB,7.4,02,2017-02-15
QUERÉTARO,2017,Temperatura_Minima,FEB,6.4,02,2017-02-15
QUINTANA ROO,2017,Temperatura_Minima,FEB,16.7,02,2017-02-15
SAN LUIS POTOSÍ,2017,Temperatura_Minima,FEB,8.3,02,2017-02-15
SINALOA,2017,Temperatura_Minima,FEB,10.7,02,2017-02-15
SONORA,2017,Temperatura_Minima,FEB,6.3,02,2017-02-15
TABASCO,2017,Temperatura_Minima,FEB,18.9,02,2017-02-15
TAMAULIPAS,2017,Temperatura_Minima,FEB,11.2,02,2017-02-15
TLAXCALA,2017,Temperatura_Minima,FEB,3.2,02,2017-02-15
VERACRUZ,2017,Temperatura_Minima,FEB,13.3,02,2017-02-15
YUCATÁN,2017,Temperatura_Minima,FEB,16.2,02,2017-02-15
ZACATECAS,2017,Temperatura_Minima,FEB,4.2,02,2017-02-15
AGUASCALIENTES,2017,Temperatura_Maxima,FEB,23.9,02,2017-02-15
BAJA CALIFORNIA,2017,Temperatura_Maxima,FEB,20.5,02,2017-02-15
BAJA CALIFORNIA SUR,2017,Temperatura_Maxima,FEB,25.6,02,2017-02-15
CAMPECHE,2017,Temperatura_Maxima,FEB,32.3,02,2017-02-15
COAHUILA,2017,Temperatura_Maxima,FEB,21.7,02,2017-02-15
COLIMA,2017,Temperatura_Maxima,FEB,31.6,02,2017-02-15
CHIAPAS,2017,Temperatura_Maxima,FEB,29.7,02,2017-02-15
CHIHUAHUA,2017,Temperatura_Maxima,FEB,19.8,02,2017-02-15
CIUDAD DE MÉXICO,2017,Temperatura_Maxima,FEB,23.0,02,2017-02-15
DURANGO,2017,Temperatura_Maxima,FEB,22.0,02,2017-02-15
GUANAJUATO,2017,Temperatura_Maxima,FEB,24.1,02,2017-02-15
GUERRERO,2017,Temperatura_Maxima,FEB,31.4,02,2017-02-15
HIDALGO,2017,Temperatura_Maxima,FEB,23.3,02,2017-02-15
JALISCO,2017,Temperatura_Maxima,FEB,27.6,02,2017-02-15
ESTADO DE MÉXICO,2017,Temperatura_Maxima,FEB,22.1,02,2017-02-15
MICHOACÁN,2017,Temperatura_Maxima,FEB,27.4,02,2017-02-15
MORELOS,2017,Temperatura_Maxima,FEB,29.1,02,2017-02-15
NAYARIT,2017,Temperatura_Maxima,FEB,29.5,02,2017-02-15
NUEVO LEÓN,2017,Temperatura_Maxima,FEB,22.7,02,2017-02-15
OAXACA,2017,Temperatura_Maxima,FEB,28.2,02,2017-02-15
PUEBLA,2017,Temperatura_Maxima,FEB,24.0,02,2017-02-15
QUERÉTARO,2017,Temperatura_Maxima,FEB,25.5,02,2017-02-15
QUINTANA ROO,2017,Temperatura_Maxima,FEB,30.3,02,2017-02-15
SAN LUIS POTOSÍ,2017,Temperatura_Maxima,FEB,25.4,02,2017-02-15
SINALOA,2017,Temperatura_Maxima,FEB,28.1,02,2017-02-15
SONORA,2017,Temperatura_Maxima,FEB,24.3,02,2017-02-15
TABASCO,2017,Temperatura_Maxima,FEB,30.2,02,2017-02-15
TAMAULIPAS,2017,Temperatura_Maxima,FEB,25.7,02,2017-02-15
TLAXCALA,2017,Temperatura_Maxima,FEB,21.7,02,2017-02-15
VERACRUZ,2017,Temperatura_Maxima,FEB,25.9,02,2017-02-15
YUCATÁN,2017,Temperatura_Maxima,FEB,31.3,02,2017-02-15
ZACATECAS,2017,Temperatura_Maxima,FEB,23.2,02,2017-02-15
AGUASCALIENTES,2017,Temperatura_Promedio,FEB,13.5,02,2017-02-15
BAJA CALIFORNIA,2017,Temperatura_Promedio,FEB,13.6,02,2017-02-15
BAJA CALIFORNIA SUR,2017,Temperatura_Promedio,FEB,17.4,02,2017-02-15
CAMPECHE,2017,Temperatura_Promedio,FEB,24.6,02,2017-02-15
COAHUILA,2017,Temperatura_Promedio,FEB,14.3,02,2017-02-15
COLIMA,2017,Temperatura_Promedio,FEB,22.1,02,2017-02-15
CHIAPAS,2017,Temperatura_Promedio,FEB,22.7,02,2017-02-15
CHIHUAHUA,2017,Temperatura_Promedio,FEB,9.9,02,2017-02-15
CIUDAD DE MÉXICO,2017,Temperatura_Promedio,FEB,14.5,02,2017-02-15
DURANGO,2017,Temperatura_Promedio,FEB,12.0,02,2017-02-15
GUANAJUATO,2017,Temperatura_Promedio,FEB,15.2,02,2017-02-15
GUERRERO,2017,Temperatura_Promedio,FEB,23.8,02,2017-02-15
HIDALGO,2017,Temperatura_Promedio,FEB,14.0,02,2017-02-15
JALISCO,2017,Temperatura_Promedio,FEB,17.1,02,2017-02-15
ESTADO DE MÉXICO,2017,Temperatura_Promedio,FEB,13.0,02,2017-02-15
MICHOACÁN,2017,Temperatura_Promedio,FEB,17.3,02,2017-02-15
MORELOS,2017,Temperatura_Promedio,FEB,19.8,02,2017-02-15
NAYARIT,2017,Temperatura_Promedio,FEB,20.4,02,2017-02-15
NUEVO LEÓN,2017,Temperatura_Promedio,FEB,15.2,02,2017-02-15
OAXACA,2017,Temperatura_Promedio,FEB,20.6,02,2017-02-15
PUEBLA,2017,Temperatura_Promedio,FEB,15.6,02,2017-02-15
QUERÉTARO,2017,Temperatura_Promedio,FEB,15.8,02,2017-02-15
QUINTANA ROO,2017,Temperatura_Promedio,FEB,23.7,02,2017-02-15
SAN LUIS POTOSÍ,2017,Temperatura_Promedio,FEB,16.8,02,2017-02-15
SINALOA,2017,Temperatura_Promedio,FEB,19.4,02,2017-02-15
SONORA,2017,Temperatura_Promedio,FEB,15.5,02,2017-02-15
TABASCO,2017,Temperatura_Promedio,FEB,24.9,02,2017-02-15
TAMAULIPAS,2017,Temperatura_Promedio,FEB,19.1,02,2017-02-15
TLAXCALA,2017,Temperatura_Promedio,FEB,12.2,02,2017-02-15
VERACRUZ,2017,Temperatura_Promedio,FEB,20.0,02,2017-02-15
YUCATÁN,2017,Temperatura_Promedio,FEB,23.9,02,2017-02-15
ZACATECAS,2017,Temperatura_Promedio,FEB,13.4,02,2017-02-15
AGUASCALIENTES,2018,Precipitacion,FEB,38.7,02,2018-02-15
BAJA CALIFORNIA,2018,Precipitacion,FEB,48.6,02,2018-02-15
BAJA CALIFORNIA SUR,2018,Precipitacion,FEB,2.7,02,2018-02-15
CAMPECHE,2018,Precipitacion,FEB,0.3,02,2018-02-15
CIUDAD DE MÉXICO,2018,Precipitacion,FEB,5.8,02,2018-02-15
COAHUILA,2018,Precipitacion,FEB,34.1,02,2018-02-15
COLIMA,2018,Precipitacion,FEB,23.9,02,2018-02-15
CHIAPAS,2018,Precipitacion,FEB,44.5,02,2018-02-15
CHIHUAHUA,2018,Precipitacion,FEB,6.1,02,2018-02-15
DURANGO,2018,Precipitacion,FEB,14.7,02,2018-02-15
GUANAJUATO,2018,Precipitacion,FEB,31.6,02,2018-02-15
GUERRERO,2018,Precipitacion,FEB,0.5,02,2018-02-15
HIDALGO,2018,Precipitacion,FEB,6.1,02,2018-02-15
JALISCO,2018,Precipitacion,FEB,46.9,02,2018-02-15
ESTADO DE MÉXICO,2018,Precipitacion,FEB,4.7,02,2018-02-15
MICHOACÁN,2018,Precipitacion,FEB,4.5,02,2018-02-15
MORELOS,2018,Precipitacion,FEB,0.7,02,2018-02-15
NAYARIT,2018,Precipitacion,FEB,54.2,02,2018-02-15
NUEVO LEÓN,2018,Precipitacion,FEB,32.1,02,2018-02-15
OAXACA,2018,Precipitacion,FEB,6.0,02,2018-02-15
PUEBLA,2018,Precipitacion,FEB,19.4,02,2018-02-15
QUERÉTARO,2018,Precipitacion,FEB,6.3,02,2018-02-15
QUINTANA ROO,2018,Precipitacion,FEB,55.6,02,2018-02-15
